PARTS,ITEM,UNIT COST,QUANTITY,TOTAL COST,SOURCE,,,,,,,,,,,,,,,
,High Pressure Solenoid Valve,$28.00,1.00,$28.00,https://www.amazon.com/gp/product/B085FYTHPY/ref=ox_sc_act_title_1?smid=A37DFQ476WZ5XM&th=1,,,,,,,,,,,,,,,
,Quick Exhaust Valve (QEV),$18.00,1.00,$18.00,https://www.amazon.com/gp/product/B01D74BG9E/ref=ox_sc_act_title_2?smid=A3HMB6GLG0WJ17&psc=1,,,,,,,,,,,,,,,
,3-9x40 Scope,$27.00,1.00,$27.00,https://www.amazon.com/gp/product/B0D9VW8WVK/ref=ox_sc_act_title_26?smid=A1YH2NUXMYXXT5&th=1,,,,,,,,,,,,,,,
,Pump with Gauge,$15.00,1.00,$15.00,https://www.amazon.com/gp/product/B0DBV4R37H/ref=ox_sc_act_title_27?smid=A2TDE4PBWMYM6J&th=1,,,,,,,,,,,,,,,
,High Pressure PVC Pipe Caps,$8.00,1.00,$8.00,https://www.amazon.com/gp/product/B0D54BZ16K/ref=ox_sc_act_title_24?smid=A3OW1LX203RENF&th=1,,,,,,,,,,,,,,,
,"1/2"" Adapter",$9.00,1.00,$9.00,https://www.amazon.com/gp/product/B07VXX26FG/ref=ox_sc_act_title_4?smid=AFRGIF310N2Z7&th=1,,,,,,,,,,,,,,,
,Polycarbonate (PC) Filament,$29.00,1.00,$29.00,https://www.amazon.com/gp/product/B0DSHYXMNV/ref=ox_sc_act_title_5?smid=A2WWHQ25ENKVJ1&th=1,,,,,,,,,,,,,,,
,High Pressure Epoxy,$15.00,1.00,$15.00,https://www.amazon.com/gp/product/B0CTB8GHYP/ref=ox_sc_act_title_25?smid=ATVPDKIKX0DER&th=1,,,,,,,,,,,,,,,
,,,,OVERALL:,$149.00,,,,,,,,,,,,,,,
,,,,FINAL TOTAL (with tax & shipping):,$160.00,,,,,,,,,,,,,,,
